state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Iowa,2020-04-13,0.250748539,-36.42857142857143,-1.8571428571428572,45.42857142857143,-26.285714285714285,-35.57142857142857,15.142857142857142,2902.0,1315.0
Iowa,2020-04-20,0.24979801299999999,-31.285714285714285,1.8571428571428572,113.42857142857143,-19.285714285714285,-35.57142857142857,13.285714285714286,5476.0,2574.0
Iowa,2020-04-27,0.32821634,-25.0,9.428571428571429,129.85714285714286,-13.571428571428571,-34.57142857142857,11.285714285714286,9175.0,3699.0
Iowa,2020-05-04,0.335250226,-23.857142857142858,17.0,79.0,-13.142857142857142,-32.42857142857143,12.285714285714286,11959.0,2784.0
Iowa,2020-05-11,0.3417137970000001,-22.142857142857142,10.428571428571429,110.0,-11.714285714285714,-30.142857142857142,11.571428571428571,14651.0,2692.0
Iowa,2020-05-18,0.32973718,-13.857142857142858,16.428571428571427,147.57142857142858,-6.285714285714286,-29.142857142857142,9.285714285714286,17251.0,2600.0
Iowa,2020-05-25,0.325744974,-11.571428571428571,14.142857142857142,167.71428571428572,-4.142857142857143,-30.142857142857142,10.0,19552.0,2301.0
Iowa,2020-06-01,0.39708188800000005,-7.428571428571429,21.428571428571427,200.28571428571428,2.7142857142857144,-23.285714285714285,6.571428571428571,21712.0,2160.0
Iowa,2020-06-08,0.36552445200000017,-5.571428571428571,18.428571428571427,207.0,3.2857142857142856,-22.285714285714285,6.142857142857143,23926.0,2214.0
Iowa,2020-06-15,0.408060453,-3.0,20.714285714285715,212.71428571428572,4.0,-22.142857142857142,4.857142857142857,25963.0,2037.0
Iowa,2020-06-22,0.3165724060000001,-4.571428571428571,17.285714285714285,210.0,6.142857142857143,-22.428571428571427,5.571428571428571,28520.0,2557.0
Iowa,2020-06-29,0.25949337,-5.142857142857143,23.571428571428573,245.57142857142858,5.285714285714286,-31.285714285714285,5.285714285714286,31517.0,2997.0
